Month,Revenue,,Productline,Total_Sales,,Country,Unique_Customers,Revenue,,,Deal_Size,Order_Count,Total_Revenue,Revenue_Percentage,,,Quarter,Revenue,Growth_Percentage,,,Customer_Name,Order_Count,Total_Spend,,,Productline,Total_Revenue,Avg_Price_PerUnit,Total_Units_Sold,Estimated_Profit
2003-07,102511.62,,Classic Cars,3919615.66,,USA,35,3568871.47,,,"Medium",1365,6016430.79,61.23,,,Q1 2003,184007.1,NULL,,,Euro Shopping Channel,250,884064.13,,,Classic Cars,3919615.66,115.31,33992,1175884.7
2003-08,200859.48,,Vintage Cars,1903150.84,,Spain,5,1182128.49,,,"Small",1215,2506614.75,25.51,,,Q2 2003,211606.6,15,,,Mini Gifts Distributors Ltd.,179,653133.09,,,Vintage Cars,1903150.84,90.33,21069,570945.25
2003-09,144280.46,,Motorcycles,1166388.34,,France,12,1087605.59,,,"Large",157,1302119.26,13.25,,,Q3 2003,186361.78,-11.93,,,"Australian Collectors, Co.",55,200995.41,,,Motorcycles,1166388.34,100.01,11663,349916.5
2003-10,179761.32,,Trucks and Buses,1127789.84,,Australia,5,621736.53,,,,,,,,,Q4 2003,343153.27,84.13,,,Muscle Machine Inc,48,197736.94,,,Trucks and Buses,1127789.84,104.65,10777,338336.95
2003-11,123777.75,,Planes,847166.12,,UK,5,467843.93,,,,,,,,,Q1 2004,371177.19,8.17,,,La Rochelle Gifts,51,175648.25,,,Planes,847166.12,96.51,8778,254149.84
2003-12,173938.12,,,,,Italy,3,361253.45,,,,,,,,,Q2 2004,306470.71,-17.43,,,"Dragon Souveniers, Ltd.",42,170805.68,,,Ships,634810.53,90.57,7009,190443.16
2004-01,177196.23,,,,,Finland,3,312000.93,,,,,,,,,Q3 2004,297086.76,-3.06,,,Land of Toys Inc.,47,158772.76,,,Trains,226243.47,83.42,2712,67873.04
2004-02,145370.52,,,,,Norway,3,305402.58,,,,,,,,,Q4 2004,606805.78,104.25,,,The Sharp Gifts Warehouse,38,156524.65,,,,,,,
2004-03,169622.02,,,,,Singapore,2,286304.41,,,,,,,,,Q1 2005,312332.68,-48.53,,,"AV Stores, Co.",50,155724.96,,,,,,,
2004-04,141595.35,,,,,Denmark,2,241008.27,,,,,,,,,Q2 2005,321212.49,2.84,,,"Anna's Decorations, Ltd",46,153996.13,,,,,,,
2004-05,153886.47,,,,,Canada,3,215968.45,,,,,,,,,Q3 2005,248756.78,-22.56,,,,,,,,,,,,
2004-06,92294.64,,,,,Germany,3,215451.96,,,,,,,,,Q4 2005,570944.09,129.52,,,,,,,,,,,,
2004-07,124555.64,,,,,Sweden,2,206499.39,,,,,,,,,Q1 2006,347999.34,-39.05,,,,,,,,,,,,
2004-08,122639.87,,,,,Austria,2,199174.05,,,,,,,,,Q2 2006,263169.95,-24.38,,,,,,,,,,,,
2004-09,113215.11,,,,,Japan,2,180260.58,,,,,,,,,Q3 2006,261947.6,-0.46,,,,,,,,,,,,
2004-10,144649.22,,,,,Switzerland,1,117713.56,,,,,,,,,Q4 2006,563050.82,114.95,,,,,,,,,,,,
2004-11,92626.85,,,,,Belgium,2,106715.8,,,,,,,,,Q1 2007,277220.11,-50.76,,,,,,,,,,,,
