Month,Revenue,Unnamed: 2,Productline,Total_Sales,Unnamed: 5,Country,Unique_Customers,Revenue.1,Unnamed: 9,Unnamed: 10,Deal_Size,Order_Count,Total_Revenue,Revenue_Percentage,Unnamed: 15,Unnamed: 16,Quarter,Revenue.2,Growth_Percentage,Unnamed: 20,Unnamed: 21,Customer_Name,Order_Count.1,Total_Spend,Unnamed: 25,Unnamed: 26,Productline.1,Total_Revenue.1,Avg_Price_PerUnit,Total_Units_Sold,Estimated_Profit
2003-07,102511.62,,Classic Cars,3919615.66,,USA,35.0,3568871.47,,,"Medium",1365.0,6016430.79,61.23,,,Q1 2003,184007.1,,,,Euro Shopping Channel,250.0,884064.13,,,Classic Cars,3919615.66,115.31,33992.0,1175884.7
2003-08,200859.48,,Vintage Cars,1903150.84,,Spain,5.0,1182128.49,,,"Small",1215.0,2506614.75,25.51,,,Q2 2003,211606.6,15.0,,,Mini Gifts Distributors Ltd.,179.0,653133.09,,,Vintage Cars,1903150.84,90.33,21069.0,570945.25
2003-09,144280.46,,Motorcycles,1166388.34,,France,12.0,1087605.59,,,"Large",157.0,1302119.26,13.25,,,Q3 2003,186361.78,-11.93,,,"Australian Collectors, Co.",55.0,200995.41,,,Motorcycles,1166388.34,100.01,11663.0,349916.5
2003-10,179761.32,,Trucks and Buses,1127789.84,,Australia,5.0,621736.53,,,,,,,,,Q4 2003,343153.27,84.13,,,Muscle Machine Inc,48.0,197736.94,,,Trucks and Buses,1127789.84,104.65,10777.0,338336.95
2003-11,123777.75,,Planes,847166.12,,UK,5.0,467843.93,,,,,,,,,Q1 2004,371177.19,8.17,,,La Rochelle Gifts,51.0,175648.25,,,Planes,847166.12,96.51,8778.0,254149.84
2003-12,173938.12,,,0.0,,Italy,3.0,361253.45,,,,,,,,,Q2 2004,306470.71,-17.43,,,"Dragon Souveniers, Ltd.",42.0,170805.68,,,Ships,634810.53,90.57,7009.0,190443.16
2004-01,177196.23,,,0.0,,Finland,3.0,312000.93,,,,,,,,,Q3 2004,297086.76,-3.06,,,Land of Toys Inc.,47.0,158772.76,,,Trains,226243.47,83.42,2712.0,67873.04
2004-02,145370.52,,,0.0,,Norway,3.0,305402.58,,,,,,,,,Q4 2004,606805.78,104.25,,,The Sharp Gifts Warehouse,38.0,156524.65,,,,,,,
2004-03,169622.02,,,0.0,,Singapore,2.0,286304.41,,,,,,,,,Q1 2005,312332.68,-48.53,,,"AV Stores, Co.",50.0,155724.96,,,,,,,
2004-04,141595.35,,,0.0,,Denmark,2.0,241008.27,,,,,,,,,Q2 2005,321212.49,2.84,,,"Anna's Decorations, Ltd",46.0,153996.13,,,,,,,
